Bacteria (/bækˈtɪəriə/; sg.: bacterium) are ubiquitous, mostly free-living organisms often consisting of one biological cell.	Bacteria ko (/bækˈtɪəriə/; sg.: bacterium) do, often miat́ ge biological Jivt́okoaann (Cell), ubiquitous„ sangepaa do free-living Organism ko.
They constitute a large domain of prokaryotic microorganisms.	Enko Prokaryotic Manjinivt́ ko (Microorganisms) Domain ren maraṅ Hitat́ ge.
Typically a few micrometres in length, bacteria were among the first life forms to appear on Earth, and are present in most of its habitats.	Jitiliṅ do typically chiminaṅ ge micrometer hoban Bacteria ko do, Ote chetan nel ean ayarùtar Life-form ko loḱkô lekaoḱa, anḍoḱ Ote ren sanam Habitat ko re menaḱkoa.
Bacteria inhabit the air, soil, water, acidic hot springs, radioactive waste, and the deep biosphere of Earth's crust.	Bacteria ko do, Hasa„ Daḱ„ Acidic Hot Spring„ Radioactive Waste„ Otecrust ren ikir Biosphere korekô taena.
Bacteria play a vital role in many stages of the nutrient cycle by recycling nutrients and the fixation of nitrogen from the atmosphere.	Nutrient ko recycle ê tan loḱ„ Atmosphere ren Nitrogen fix ê tan loḱ, Bacteria kodo Nutrient Cycle ren sange Stage kore Vital Role menaḱa.
The nutrient cycle includes the decomposition of dead bodies; bacteria are responsible for the putrefaction stage in this process.	Nutrient Cycle redo, Goćakanaḱ koaḱ Decomposition lekaoḱa; nen Process ren Putrefaction Stage do Bacteria ko tege hobana.
In the biological communities surrounding hydrothermal vents and cold seeps, extremophile bacteria provide the nutrients needed to sustain life by converting dissolved compounds, such as hydrogen sulphide and methane, to energy.	Hydrothermal Vent anḍoḱ Cold Seep kuṭi koren Biological Community kore do, Extremophile Bacteria ko, Hydrogen Sulphide„ Methane lekan leaṅ akan Compound ko Energy oḱge convert keet́ Life sustain re asitiṅ Nutrient kokô provide êa.
Bacteria also live in mutualistic, commensal and parasitic relationships with plants and animals.	Bacteria kodo, Sińjivt́ (Plants) anḍoḱ Senêjivt́ (Animals) ko loḱ mutualistic„ commensal„ parasitic Relationship reókô taena.
Most bacteria have not been characterised and there are many species that cannot be grown in the laboratory.	Most Bacteria ko do kakô characterise chaba akana, anḍoḱ Laboratory re kako sange ichi (grow) daeoḱ lekan Hita (Species) koó menaḱa.
The study of bacteria is known as bacteriology, a branch of microbiology.	Bacteria ko reaḱ Study do, Microbiology ren miat́ koto Bacteriology menoḱa.
Like all animals, humans carry vast numbers (approximately 1013 to 1014) of bacteria.	Sanam Senêjivt́ ko leka ge, hoo ko reó sange rená ge (approximately 1013 to 1014) Bacteria ko taena.
Most are in the gut, though there are many on the skin.	Sange do Úr re menaḱkô reó, láḱpaa do Láć Poṭa reko taena.
Most of the bacteria in and on the body are harmless or rendered so by the protective effects of the immune system, and many are beneficial, particularly the ones in the gut.	Homoo cheten„ bitar ren láḱpaa Bacteria dokô harmless gea, káakô reó ge, Immune System aḱ protective Effect tekô enka akana, sange dokô beneficial gea, particularly Láć Poṭa ren ko.
However, several species of bacteria are pathogenic and cause infectious diseases, including cholera, syphilis, anthrax, leprosy, tuberculosis, tetanus and bubonic plague.	Enkareóge, several Bacteriahita dokô pathogenic gea, anḍoḱ enko te Cholera„ Syphilis„ Anthrax„ Tunḍubanḍia„ Tuberculosis„ Tetanus„ Bubonic Plague ko lekan Chaálrua (Infectious Diseases) ko ooḱla.
The most common fatal bacterial diseases are respiratory infections.	Most common goóć Bacteriarua (Bacterial Diseases) kodo Saet́hora Chaálrua (Respiratory Infections) ko.
Antibiotics are used to treat bacterial infections and are also used in farming, making antibiotic resistance a growing problem.	Bacteria Ruachal (Bacterial Infection) buúgin re agujoṅoḱ Antibiotics kodo, Farming reó agujoṅoḱ te Antibiotic Resistance miat́ Growing Problem akana.
Bacteria are important in sewage treatment and the breakdown of oil spills, the production of cheese and yogurt through fermentation, the recovery of gold, palladium, copper and other metals in the mining sector (biomining, bioleaching), as well as in biotechnology, and the manufacture of antibiotics and other chemicals.	Bacteria ko do, Sewage Treatment anḍoḱ Nur Sunum breakdown re„ Unuput́process te Cheese anḍoḱ Yogurt baái re„ Mining Sector re Samaom„ Palladium„ Copper anḍoḱ eṭaḱ Metal ko recovery re, Biotechnology re, anḍoḱ Antibiotics„ eṭaḱ Chemical ko baái reko important gea.
Once regarded as plants constituting the class Schizomycetes (“fission fungi”), bacteria are now classified as prokaryotes.	Ayar kodo, Schizomycetes (“fission fungi”) Class ren Sińhita mente menoḱ taeken Bacteria ko do nahḱ Prokaryote mentekô classify akana.
Unlike cells of animals and other eukaryotes, bacterial cells do not contain a nucleus and rarely harbour membrane-bound organelles.	Senêjivt́„ eṭaḱ Eukaryote ko aete sapaniṅoḱge, Bacteria koaḱ Jivt́okoa redo, Okoamea (Nucleus) ká taena, anḍoḱ Membrane-bound Organelle ko do rarely ge harbour akanoḱa.
Although the term bacteria traditionally included all prokaryotes, the scientific classification changed after the discovery in the 1990s that prokaryotes consist of two very different groups of organisms that evolved from an ancient common ancestor.	Bacteria, nen Term re traditionally do sanam Prokaryote ko agumesaoḱ taeken reó ge, Prokaryote kore miat́ ge Ancient Common Ancestor aete haratersa akan barea esu rená tannga Organism Group menaḱ mente 1990 kore urum ean tayom, Scientific Classification ol ruaa eana.
These evolutionary domains are called Bacteria and Archaea.	Nen evolutionary Domain kin ge Bacteria anḍoḱ Archaea menoḱa.
Etymology.	Etymology.
The word bacteria is the plural of the Neo-Latin bacterium, which is the Latinisation of the Ancient Greek βακτήριον (baktḗrion), the diminutive of βακτηρία (baktēría), meaning “staff, cane”, because the first ones to be discovered were rod-shaped.	Ayarùtar urum nam len ko do jaṭagen (rod-shaped) kô taeken te, Ancient Greek re meaning do “Soṭa, Danḍaḱ” hobaoḱ βακτηρία (baktēría) aḱ Dimunitive βακτήριον (baktḗrion) aḱ Laátinêa (Latinisation) tana Nama-Latin (Neo-Latin) “Bacterium”, ena reaḱ plural ge “Bacteria” do.
Origin and early evolution.	Origin anḍoḱ Eneoṕaḱ Evolution.
The ancestors of bacteria were unicellular microorganisms that were the first forms of life to appear on Earth, about 4 billion years ago.	Bacteria koaḱ Ancestor ko do, 4 Billion sirma maaṅ Ote chetan ooḱl ean ayarùtar Jivt́form (Life form) tan Unicellular Manjivt́aḱ (Microorganism) ko.
For about 3 billion years, most organisms were microscopic, and bacteria and archaea were the dominant forms of life.	3 Billion Serma noḱ lagit́, láḱpaa Jivt́aḱ (Organism) ko do man-man gekô taekena, Bacteria anḍoḱ Archaea ge dominant Jivt́form do.
Although bacterial fossils exist, such as stromatolites, their lack of distinctive morphology prevents them from being used to examine the history of bacterial evolution, or to date the time of origin of a particular bacterial species.	Stromatolite lekan Bacteria Fossil ko menaḱ reó, ena kore Distinctive Morphology banoḱ te, ena ko Bacteria Haratenersa (Evolution) examine re anḍoḱ particular Bacteriahita reaḱ Origin Time usanam (date) re ká agujoṅ daeoḱa.
However, gene sequences can be used to reconstruct the bacterial phylogeny, and these studies indicate that bacteria diverged first from the archaeal/eukaryotic lineage.	Enkareóge, Bacteria koaḱ Phylogeny reconstruct ê lagit́ Gene Sequence agujoṅ daeoḱa, nen Study kote do, Bacteria kodo ayar Archaea/Eukaryote Lineage aetekô chaṅ sangin eana mente inguloḱa.
The most recent common ancestor (MRCA) of bacteria and archaea was probably a hyperthermophile that lived about 2.5 billion–3.2 billion years ago.	Bacteria„ Archaea koaḱ Most Recent Common Ancestor (MRCA) do probably 2.5 Billion–3.2 Billion Serma noḱ maaṅ re taeken hyperthermophile.
The earliest life on land may have been bacteria some 3.22 billion years ago.	Hasaòte ren ayarùtar Jinivt́ do, 3.22 Billion Serma noḱ maaṅ re taeken Bacteria koge toraṅ.
